id_camera,bairro,subprefeitura,id_h3,is_bolsao,id_bolsao,bolsao_latitude,bolsao_longitude,bolsao_classe_atual,bacia,sub_bacia,geometry_bolsao_buffer_0.002
000017,Lagoa,Zona Sul,88a8a07889fffff,TRUE,91,-22.96221596,-43.20386245,PM,ZS,Lagoa Rodrigo de Freitas,"POLYGON ((-43.2018624531 -22.9622159606, -43.201872083646656 -22.962411994880657, -43.20190088253919 -22.96260614124403, -43.201948572428535 -22.962796529954506, -43.20201469403498 -22.96298132746473, -43.202098610571305 -22.96315875407365, -43.2021995138754 -22.96332710106604, -43.20231643219328 -22.963484747168327, -43.20244823953763 -22.963630174162372, -43.202593666531676 -22.963761981506725, -43.202751312633964 -22.963878899824604, -43.202919659626346 -22.963979803128694, -43.20309708623527 -22.96406371966502, -43.20328188374549 -22.96412984127146, -43.20347227245597 -22.964177531160804, -43.20366641881934 -22.964206330053344, -43.2038624531 -22.964215960599997, -43.204058487380664 -22.964206330053344, -43.204252633744034 -22.964177531160804, -43.20444302245451 -22.96412984127146, -43.204627819964735 -22.96406371966502, -43.204805246573656 -22.963979803128694, -43.20497359356604 -22.963878899824604, -43.205131239668326 -22.963761981506725, -43.20527666666237 -22.963630174162372, -43.205408474006724 -22.963484747168327, -43.2055253923246 -22.96332710106604, -43.2056262956287 -22.96315875407365, -43.20571021216502 -22.96298132746473, -43.20577633377147 -22.962796529954506, -43.20582402366081 -22.96260614124403, -43.20585282255335 -22.962411994880657, -43.2058624531 -22.9622159606, -43.20585282255335 -22.96201992631934, -43.20582402366081 -22.961825779955966, -43.20577633377147 -22.96163539124549, -43.20571021216502 -22.961450593735268, -43.2056262956287 -22.961273167126347, -43.2055253923246 -22.961104820133958, -43.205408474006724 -22.96094717403167, -43.20527666666237 -22.960801747037625, -43.205131239668326 -22.960669939693272, -43.20497359356604 -22.960553021375393, -43.204805246573656 -22.960452118071302, -43.204627819964735 -22.960368201534976, -43.20444302245451 -22.960302079928535, -43.204252633744034 -22.960254390039193, -43.204058487380664 -22.960225591146653, -43.2038624531 -22.9602159606, -43.20366641881934 -22.960225591146653, -43.20347227245597 -22.960254390039193, -43.20328188374549 -22.960302079928535, -43.20309708623527 -22.960368201534976, -43.202919659626346 -22.960452118071302, -43.202751312633964 -22.960553021375393, -43.202593666531676 -22.960669939693272, -43.20244823953763 -22.960801747037625, -43.20231643219328 -22.96094717403167, -43.2021995138754 -22.961104820133958, -43.202098610571305 -22.961273167126347, -43.20201469403498 -22.961450593735268, -43.201948572428535 -22.96163539124549, -43.20190088253919 -22.961825779955966, -43.201872083646656 -22.96201992631934, -43.2018624531 -22.9622159606))"
000018,Lagoa,Zona Sul,88a8a078d9fffff,,,,,,,,
000019,Botafogo,Zona Sul,88a8a07881fffff,,,,,,,,
000020,Botafogo,Zona Sul,88a8a078a3fffff,TRUE,351,-22.94280411,-43.1798169,PO,ZS,Praia de Botafogo,"POLYGON ((-43.1778169033 -22.9428041143, -43.177826533846655 -22.94300014858066, -43.17785533273919 -22.943194294944032, -43.177903022628534 -22.943384683654507, -43.17796914423498 -22.94356948116473, -43.178053060771305 -22.94374690777365, -43.1781539640754 -22.94391525476604, -43.17827088239328 -22.944072900868328, -43.17840268973763 -22.944218327862373, -43.178548116731676 -22.944350135206726, -43.178705762833964 -22.944467053524605, -43.178874109826346 -22.944567956828696, -43.17905153643527 -22.94465187336502, -43.17923633394549 -22.944717994971462, -43.17942672265597 -22.944765684860805, -43.17962086901934 -22.944794483753345, -43.1798169033 -22.9448041143, -43.18001293758066 -22.944794483753345, -43.18020708394403 -22.944765684860805, -43.18039747265451 -22.944717994971462, -43.180582270164734 -22.94465187336502, -43.180759696773656 -22.944567956828696, -43.18092804376604 -22.944467053524605, -43.181085689868326 -22.944350135206726, -43.18123111686237 -22.944218327862373, -43.181362924206724 -22.944072900868328, -43.1814798425246 -22.94391525476604, -43.1815807458287 -22.94374690777365, -43.18166466236502 -22.94356948116473, -43.18173078397147 -22.943384683654507, -43.18177847386081 -22.943194294944032, -43.181807272753346 -22.94300014858066, -43.1818169033 -22.9428041143, -43.181807272753346 -22.94260808001934, -43.18177847386081 -22.942413933655967, -43.18173078397147 -22.94222354494549, -43.18166466236502 -22.94203874743527, -43.1815807458287 -22.941861320826348, -43.1814798425246 -22.94169297383396, -43.181362924206724 -22.94153532773167, -43.18123111686237 -22.941389900737626, -43.181085689868326 -22.941258093393273, -43.18092804376604 -22.941141175075394, -43.180759696773656 -22.941040271771303, -43.180582270164734 -22.940956355234977, -43.18039747265451 -22.940890233628537, -43.18020708394403 -22.940842543739194, -43.18001293758066 -22.940813744846654, -43.1798169033 -22.9408041143, -43.17962086901934 -22.940813744846654, -43.17942672265597 -22.940842543739194, -43.17923633394549 -22.940890233628537, -43.17905153643527 -22.940956355234977, -43.178874109826346 -22.941040271771303, -43.178705762833964 -22.941141175075394, -43.178548116731676 -22.941258093393273, -43.17840268973763 -22.941389900737626, -43.17827088239328 -22.94153532773167, -43.1781539640754 -22.94169297383396, -43.178053060771305 -22.941861320826348, -43.17796914423498 -22.94203874743527, -43.177903022628534 -22.94222354494549, -43.17785533273919 -22.942413933655967, -43.177826533846655 -22.94260808001934, -43.1778169033 -22.9428041143))"
000021,Praça da Bandeira,Grande Tijuca,88a8a0612dfffff,TRUE,11,-22.91068148,-43.21326028,PM,G,Canal do Mangue,"POLYGON ((-43.2112602792 -22.9106814823, -43.211269909746655 -22.91087751658066, -43.21129870863919 -22.911071662944032, -43.21134639852853 -22.911262051654507, -43.21141252013498 -22.91144684916473, -43.211496436671304 -22.91162427577365, -43.2115973399754 -22.91179262276604, -43.21171425829328 -22.911950268868328, -43.21184606563763 -22.912095695862373, -43.211991492631675 -22.912227503206726, -43.21214913873396 -22.912344421524605, -43.212317485726345 -22.912445324828695, -43.212494912335266 -22.91252924136502, -43.21267970984549 -22.912595362971462, -43.21287009855597 -22.912643052860805, -43.21306424491934 -22.912671851753345, -43.2132602792 -22.9126814823, -43.21345631348066 -22.912671851753345, -43.21365045984403 -22.912643052860805, -43.21384084855451 -22.912595362971462, -43.214025646064734 -22.91252924136502, -43.214203072673655 -22.912445324828695, -43.21437141966604 -22.912344421524605, -43.214529065768325 -22.912227503206726, -43.21467449276237 -22.912095695862373, -43.21480630010672 -22.911950268868328, -43.2149232184246 -22.91179262276604, -43.215024121728696 -22.91162427577365, -43.21510803826502 -22.91144684916473, -43.21517415987147 -22.911262051654507, -43.21522184976081 -22.911071662944032, -43.215250648653345 -22.91087751658066, -43.2152602792 -22.9106814823, -43.215250648653345 -22.91048544801934, -43.21522184976081 -22.910291301655967, -43.21517415987147 -22.91010091294549, -43.21510803826502 -22.90991611543527, -43.215024121728696 -22.909738688826348, -43.2149232184246 -22.90957034183396, -43.21480630010672 -22.90941269573167, -43.21467449276237 -22.909267268737626, -43.214529065768325 -22.909135461393273, -43.21437141966604 -22.909018543075394, -43.214203072673655 -22.908917639771303, -43.214025646064734 -22.908833723234977, -43.21384084855451 -22.908767601628536, -43.21365045984403 -22.908719911739194, -43.21345631348066 -22.908691112846654, -43.2132602792 -22.9086814823, -43.21306424491934 -22.908691112846654, -43.21287009855597 -22.908719911739194, -43.21267970984549 -22.908767601628536, -43.212494912335266 -22.908833723234977, -43.212317485726345 -22.908917639771303, -43.21214913873396 -22.909018543075394, -43.211991492631675 -22.909135461393273, -43.21184606563763 -22.909267268737626, -43.21171425829328 -22.90941269573167, -43.2115973399754 -22.90957034183396, -43.211496436671304 -22.909738688826348, -43.21141252013498 -22.90991611543527, -43.21134639852853 -22.91010091294549, -43.21129870863919 -22.910291301655967, -43.211269909746655 -22.91048544801934, -43.2112602792 -22.9106814823))"
000022,Maracanã,Grande Tijuca,88a8a06105fffff,,,,,,,,
000023,Copacabana,Zona Sul,88a8a078e3fffff,,,,,,,,
000024,Copacabana,Zona Sul,88a8a078e1fffff,,,,,,,,
000025,Copacabana,Zona Sul,88a8a078e1fffff,,,,,,,,
000026,Copacabana,Zona Sul,88a8a078ebfffff,,,,,,,,
000027,Copacabana,Zona Sul,88a8a078ebfffff,,,,,,,,
